site,Date.dd.mm.yyyy.,REFR.440.,REFR.676.,REFR.869.,REFR.1020.,REFI.440.,REFI.676.,REFI.869.,REFI.1020.,SSA676.T,SSA869.T,SSA1020.T,ASYM440.T,ASYM676.T,ASYM869.T,VolCon.F,VolMedianRad.F,StdDev.F,VolCon.C,VolMedianRad.C,StdDev.C,X.sphericity,SSA440.T,ASYM1020.T,X0.05,X0.065604,X0.086077,X0.112939,X0.148184,X0.194429,X0.255105,X0.334716,X0.439173,X0.576227,X0.756052,X0.991996,X1.301571,X1.707757,X2.240702,X2.939966,X3.857452,X5.06126,X6.640745,X8.713145,X11.432287,X15,RadiativeForcing.BOA.,RadiativeForcing.TOA.,ForcingEfficiency.BOA.,ForcingEfficiency.TOA.,sky_error,AOT_1020,AOT_870,AOT_675,AOT_440,Water.cm.
beijing,2003/1/8,1.4994,1.5134,1.5253,1.5302,0.052274,0.030397,0.027962,0.030653,0.8083,0.8003,0.7781,0.702379,0.632932,0.605625,0.065,0.192,0.579,0.052,2.878,0.629,98.234654,0.7561,0.596229,0.000514,0.004971,0.020828,0.040864,0.046822,0.0394,0.028559,0.022933,0.017589,0.012135,0.0102,0.012078,0.016366,0.02031,0.024202,0.0288,0.032158,0.027591,0.015706,0.006308,0.001997,0.000528,-114.05135,4.47996,-260.23963,10.22227,1.439471,0.192767,0.235265,0.329587,0.565806,0.318094
beijing,2003/1/8,1.5012,1.5162,1.53,1.5356,0.053559,0.03174,0.031452,0.034427,0.8032,0.7861,0.7611,0.699952,0.628889,0.600656,0.067,0.189,0.58,0.052,2.909,0.647,98.078739,0.7533,0.590916,0.000529,0.005534,0.023096,0.042874,0.047373,0.040013,0.030098,0.022899,0.016011,0.011779,0.011378,0.013852,0.016644,0.018417,0.021142,0.026865,0.033184,0.030134,0.017034,0.006586,0.002039,0.000548,-112.76135,3.41777,-250.95903,7.6065,1.52664,0.197872,0.241126,0.336556,0.581716,0.284037
beijing,2003/1/8,1.5065,1.5208,1.5368,1.5448,0.053092,0.030782,0.028562,0.031345,0.8093,0.8011,0.7792,0.69975,0.628486,0.598291,0.066,0.19,0.575,0.052,2.911,0.643,98.119133,0.7569,0.586942,0.000572,0.005244,0.021393,0.041628,0.047443,0.040415,0.029862,0.022874,0.016442,0.011637,0.010513,0.013014,0.016865,0.019418,0.021858,0.026723,0.032216,0.029357,0.01704,0.006747,0.002075,0.000529,-117.2934,4.44384,-260.14224,9.85589,1.640947,0.198692,0.241806,0.337908,0.582903,0.287689
beijing,2003/1/11,1.4224,1.4615,1.4832,1.4873,0.042744,0.025848,0.024537,0.025969,0.8122,0.8074,0.7866,0.729259,0.644706,0.611303,0.059,0.196,0.563,0.042,2.869,0.655,97.204237,0.7596,0.6025,0.00036,0.002987,0.013841,0.035215,0.048697,0.039809,0.024465,0.017753,0.015091,0.012208,0.010162,0.010724,0.013571,0.016235,0.017751,0.020509,0.024172,0.02294,0.014223,0.005674,0.001594,0.000337,-86.86544,0.88551,-257.41293,2.62407,1.521086,0.154265,0.189389,0.259828,0.430319,0.488848
beijing,2003/2/1,1.4741,1.5053,1.5246,1.5274,0.027431,0.018808,0.018052,0.02141,0.8496,0.8359,0.8014,0.657746,0.588555,0.566591,0.084,0.145,0.521,0.058,2.701,0.693,94.939033,0.8303,0.564521,0.000585,0.015567,0.067721,0.071302,0.048888,0.038274,0.031097,0.020761,0.012019,0.008868,0.010276,0.014394,0.018168,0.020329,0.023638,0.029853,0.035067,0.030163,0.016996,0.006807,0.002171,0.000582,-111.95183,-28.39791,-239.1638,-60.66674,1.230589,0.188776,0.234259,0.340527,0.637961,0.33195
beijing,2003/2/1,1.4848,1.5021,1.5201,1.5183,0.033538,0.018879,0.017643,0.019427,0.851,0.8375,0.8108,0.666808,0.587088,0.558652,0.11,0.151,0.487,0.08,2.828,0.666,98.017501,0.8162,0.555201,0.000808,0.011508,0.063156,0.105501,0.080915,0.056114,0.03929,0.02623,0.015476,0.010352,0.010974,0.017201,0.025104,0.026921,0.030672,0.041575,0.054869,0.048022,0.023681,0.008122,0.002569,0.000861,-149.29394,-33.25094,-229.92057,-51.20821,1.768701,0.241704,0.309657,0.457583,0.906359,0.348723
beijing,2003/3/12,1.5338,1.5336,1.5415,1.5416,0.026108,0.025799,0.026688,0.033013,0.8336,0.8111,0.7714,0.68041,0.61748,0.585294,0.045,0.179,0.492,0.034,2.344,0.738,98.755019,0.8572,0.575517,0.000496,0.003178,0.012271,0.028208,0.038205,0.03286,0.022087,0.014504,0.009924,0.008215,0.008626,0.011709,0.014987,0.014398,0.013685,0.014667,0.015875,0.013977,0.008875,0.004088,0.001419,0.000382,-85.48937,-15.70926,-251.55769,-46.22546,1.261528,0.141235,0.173116,0.248953,0.446548,0.305891
beijing,2003/3/12,1.5106,1.5244,1.5364,1.5352,0.023428,0.022631,0.023189,0.026189,0.8471,0.8277,0.797,0.679891,0.610282,0.580757,0.045,0.162,0.444,0.037,2.129,0.841,97.00762,0.8656,0.575886,0.000396,0.003975,0.016982,0.033349,0.03779,0.032159,0.022076,0.013177,0.009194,0.009456,0.011522,0.012432,0.012466,0.012369,0.012202,0.013679,0.016468,0.01638,0.010462,0.004314,0.001331,0.000335,-82.19145,-14.19714,-248.57371,-42.93676,1.582509,0.139406,0.17093,0.243819,0.436367,0.309563
beijing,2003/4/12,1.5391,1.5396,1.546,1.5446,0.021365,0.023646,0.020385,0.019045,0.8097,0.8024,0.7981,0.682314,0.620476,0.606693,0.037,0.15,0.402,0.085,3.383,0.704,44.213314,0.8642,0.614977,0.000566,0.003664,0.013951,0.030989,0.038856,0.026964,0.012122,0.00599,0.004823,0.006031,0.008741,0.012743,0.017137,0.02006,0.023789,0.033641,0.052387,0.064769,0.047253,0.019135,0.004277,0.000524,-75.04967,-10.52074,-253.47122,-35.53253,1.87458,0.124652,0.155234,0.216511,0.405134,0.85944
beijing,2003/11/29,1.5156,1.5486,1.5591,1.5611,0.029682,0.017121,0.020112,0.020638,0.8519,0.8219,0.8116,0.670002,0.623953,0.623291,0.087,0.151,0.57,0.119,2.519,0.642,31.182278,0.8147,0.628522,0.000837,0.018918,0.070346,0.067421,0.044659,0.035635,0.031506,0.025803,0.01904,0.015077,0.017334,0.028828,0.046006,0.054113,0.05825,0.066846,0.07057,0.05233,0.024769,0.008593,0.00265,0.000802,-141.56041,-30.15858,-241.64835,-51.48171,1.738681,0.28497,0.33822,0.454052,0.760877,0.311832
beijing,2003/12/3,1.5634,1.5436,1.5498,1.5518,0.034525,0.020889,0.021537,0.025863,0.8326,0.8196,0.7874,0.689802,0.676078,0.674465,0.046,0.191,0.711,0.086,3.247,0.59,14.071948,0.7978,0.678582,0.002505,0.011436,0.0232,0.024724,0.019964,0.017075,0.017286,0.018602,0.017135,0.013282,0.011116,0.012331,0.017571,0.026899,0.039038,0.051424,0.058783,0.052898,0.033321,0.013474,0.00333,0.000494,-87.14826,-17.75457,-262.5774,-53.49447,3.324661,0.179442,0.204718,0.260541,0.415597,0.355059
beijing,2003/12/9,1.4403,1.4915,1.5197,1.5313,0.030688,0.020959,0.023471,0.026129,0.8223,0.7842,0.7489,0.659663,0.585562,0.569366,0.091,0.14,0.542,0.058,2.832,0.562,6.98924,0.7995,0.570951,0.000612,0.01809,0.082491,0.084672,0.05106,0.034713,0.025936,0.01744,0.010636,0.007152,0.006685,0.009382,0.016291,0.025974,0.034482,0.039895,0.037802,0.026096,0.012859,0.004976,0.001691,0.000532,-116.6721,-22.90344,-270.71581,-53.14316,1.867472,0.185369,0.226401,0.319249,0.579702,0.286219
beijing,2003/12/9,1.4749,1.5202,1.5421,1.551,0.040789,0.021407,0.023742,0.024539,0.8341,0.7979,0.7789,0.682991,0.592469,0.568866,0.116,0.153,0.47,0.109,2.373,0.584,69.63222,0.7763,0.567816,0.000963,0.009092,0.051507,0.119398,0.101743,0.059132,0.037438,0.02546,0.016572,0.012739,0.01495,0.024366,0.038555,0.053632,0.073233,0.081326,0.057833,0.027967,0.012226,0.005619,0.0025,0.000962,-114.21226,-27.99271,-155.77281,-38.17894,3.330296,0.311382,0.383758,0.544078,0.980786,0.361989
beijing,2003/12/14,1.4514,1.506,1.5252,1.5276,0.036323,0.022667,0.025573,0.027065,0.8306,0.7965,0.7785,0.691087,0.618351,0.601666,0.06,0.173,0.611,0.048,2.705,0.627,94.196449,0.7843,0.601324,0.000475,0.00718,0.031969,0.048456,0.037976,0.025836,0.021072,0.018822,0.014346,0.010381,0.009815,0.012708,0.017304,0.020976,0.024203,0.027151,0.027407,0.021665,0.012376,0.005174,0.001659,0.00042,-75.62315,-12.6273,-219.00541,-36.5688,3.901753,0.162512,0.198057,0.270462,0.438031,0.314882
